"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The image clearly shows the rear of the car including the bumper and trunk area, providing sufficient visibility to assess the claimed dent damage.","none","dent","rear_bumper","supported","Image img_1 shows severe deformation and crushing of the rear bumper and trunk lid area. The rear bumper is heavily dented, displaced, and partially detached, with significant crumpling of the trunk panel. This clearly supports the customer's claim of dent damage to the rear bumper area, though the actual damage is substantially more severe than a simple dent — it appears to be major collision damage.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","img_1 clearly shows the front area of a white car including the bumper and headlight region, providing sufficient visibility to assess the claimed front bumper scratch/scrape damage.","claim_mismatch","broken_part","front_bumper","supported","The customer claims a scrape/scratch on the front bumper. img_1 shows a white car's front end with significant damage — the front bumper is cracked, deformed, and has paint damage/scraping near the headlight area. This is considerably more severe than the 'scratch' described by the customer; the visible damage includes cracking and structural deformation of the bumper, not just a surface scratch. However, scrape damage on the front bumper is clearly present, so the core claim of front bumper damage is supported. Note: img_2 shows a different vehicle (a Jaguar XF) in pristine condition, which does not appear to be the same car as in img_1 (which appears to be a different make/model). img_2 does not contribute to the damage assessment.","img_1","true","high"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","Image img_1 clearly shows the car's windshield with extensive cracking, providing sufficient visibility to assess the claimed windshield damage.","none","glass_shatter","windshield","supported","Image img_1 shows a white car's windshield with a large spider-web pattern of cracks on the driver's side, consistent with an impact point from a stone strike. The damage is extensive with multiple radiating crack lines. Image img_2 shows what appears to be a different (or the same) white car's windshield that looks intact with no visible damage. The primary evidence in img_1 clearly supports the claim of windshield cracking from a stone impact.","img_1","true","high"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The image clearly shows the side mirror of a red car with visible cracking/damage on the mirror glass, providing sufficient visibility to assess the claimed mirror damage.","none","crack","side_mirror","supported","The image (img_1) shows a side mirror on a red car with a clearly cracked/shattered mirror glass. This is consistent with the customer's claim that the side mirror was damaged after being clipped while parked. The mirror glass shows multiple fracture lines radiating from an impact point, confirming physical damage.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","Both images show the rear area of a silver/white car, including the rear bumper and adjacent body panel, from angles sufficient to assess surface deformation and damage.","claim_mismatch","dent","quarter_panel","supported","Image img_1 shows a noticeable dent/deformation on the rear quarter panel area just above/behind the rear wheel arch. Image img_2 shows the rear bumper itself, which appears largely intact with no significant visible damage. The primary visible damage is a dent on the rear quarter panel rather than the bumper itself. However, since the customer claims rear-end impact damage and a dent is clearly visible in the rear area, the claim of rear damage from being tapped from behind is supported, though the damage is primarily on the quarter panel rather than the bumper.","img_1","true","medium"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The image shows only the right side profile of a black car from a low angle on a road, with strong sun glare; the front headlight area is not visible from this angle and cannot be inspected for cracks.","wrong_angle;low_light_or_glare;cropped_or_obstructed","unknown","headlight","not_enough_information","The customer claims a cracked headlight, but img_1 is a side-profile shot taken from behind the front wheel with heavy sun glare. The headlight is not visible in the image, so no assessment of cracking or damage can be made.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","false","Image img_1 is too blurry to assess any damage, and image img_2 shows a car door panel but no visible dent or surface deformation can be confirmed from the angle and lighting provided.","blurry_image;damage_not_visible","unknown","door","not_enough_information","The customer claims a dent on the door panel. Image img_1 is extremely blurry and no detail can be discerned. Image img_2 shows a close-up of a dark-colored car's door/rear quarter panel area in clear quality, but no dent or surface deformation is visible in the image — the panel surfaces appear smooth and undamaged. Without a visible dent in either image, there is not enough information to support or contradict the claim.","none","true","unknown"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","false","The image shows a severely damaged and partially disassembled vehicle front end, not a hood with a scratch; the hood is open and the car appears to have extensive structural damage inconsistent with the claimed minor scratch.","claim_mismatch;non_original_image","broken_part","hood","contradicted","The customer claims a scratch on the hood from a service visit, but img_1 shows a heavily damaged, partially stripped vehicle with the hood popped open, exposed engine bay, missing front-end components, and extensive structural damage. This is a stock/watermarked image (Vecteezy watermarks visible) of a wrecked car, not an original photo of a minor scratch on a hood. The visible damage is catastrophic and entirely inconsistent with the claimed minor scratch from a service visit.","img_1","false","high"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The image clearly shows the laptop open with the screen fully visible, providing sufficient detail to assess the claimed screen crack.","none","crack","screen","supported","The image (img_1) shows a laptop with severe radial cracking on the display glass, emanating from an impact point in the upper-left area of the screen. This is fully consistent with the customer's claim that the laptop fell from a table and the display glass cracked.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","Image img_1 provides a close-up view of the laptop hinge area, clearly showing structural damage and breakage at the hinge, which is sufficient to evaluate the claimed hinge damage.","none","broken_part","hinge","supported","Image img_1 shows significant damage to the laptop hinge area: the bezel and hinge casing are visibly broken and separated, with internal hinge components exposed. This is consistent with the customer's claim that the hinge broke after a drop, causing the screen to wobble. Image img_2 shows what appears to be the same model laptop in an intact, undamaged state from a wider angle, which does not contradict the claim but does not show the damage either.","img_1","true","high"
